Куда и зачем помещают объект при проведении ЯМРисследования,1
Кто и когда показал возможность применения ЯМР для обнаружение опухолей,3
Как изменяется вектор поперечной намагниченности Мху после воздействия РЧимпульса,2
Что означает термин томография,1
Какой материал используется в сверхпроводящем магните,2
свойства томографа на постоянном магните,2
На какой частоте ядро излучает энергию в постоянном магнитном поле,3
Как влияет величина магнитного поля на качество ЯМРизображений,3
Какое значение может принимать время спинрешеточной релаксации Т1 протонов для биологическихтканей,3
Для чего предназначена сверхпроводящая катушка,4
На каком физическом явлении основан метод магнитнорезонансной томографии,3
Гиромагнитное отношение для водорода 4257 МГЦ Найти рабочую частоту РЧизлучения для МРтомограхра с индукцией магнитного поля В15 Тл,4
свойства томографа на сверхпроводящем магн,3
Кто и когда выдвинул в СССР предположение о возможности использования ЯМР для визуализациивнутренней структуры объектов,1
Как классифицируются МРтомографы по типу источника основного магнитного поля,3
Каким уравнением описывается спинрешеточная релаксация,4
Как влияют окружающие ядро электроны на локальное магнитное поле внутри объекта и почему,3
Каким уравнением описывается спинспиновая релаксация,1
В чем преимущество МРТ перед КТ,2
Какими основными параметрами определяется интенсивность регистрируемого МРсигнала,4
В каких единицах измеряется магнитная индукция,1
Название каких блоков пропущено на схеме основных систем МРтомографа открыть файлев пИ1924Р6,3
Кто и когда предложил использовать переменные градиенты магнитного поля для получения двухмерногоМРизображения,2
Свойства томографа на резистивном магните,4
Как изменяется продольная составляющая намагниченности М2 после воздействия Рчимпульса,3
Для чего предназначена градиентная катушка,4
Какова оптимальная индукция магнитного поля для клинического отображения,2
Кто и когда предложил эхопланарное отображение ЕР самую общую быструю ЯМРметодику,1
Почему поперечная релаксация отражает расфазирование векторов поперечной намагниченности разныхядер после воздействия РЧимпульсом,4
кто и когда предложил использовать в мртомографрии фазовое и частотное кодирование и фурьепреобразование,4
Название каких блоков пропущено на схеме сверхпроводящего МРТ открыть файле тйй93Р,2
Кто предложил дифференциальное уравнение описывающее динамику макроскопической намагниченностиво внешнем поле сучетом Т1 и Т2 релаксации,1
Как определяется частота резонансного поглощения энергии электромагнитного излучения ядром атомавмагнитном поле,4
Как определить локальное магнитное поле внутри объекта находящегося во внешнем магнитном поле В0,2
Для чего предназначена РЧкатушка,2
Как определяется разность энергий между двумя состояниями протона в магнитном поле,2
В чем состоит явление ядерномагнитного резонанса,2
Что означает термин сверхпроводящий магнит,3
Почему чаще всего в МРТ используются протоны,2
Когда и где был установлен первый сверхпроводящий высокопольный МРтомограф в СССР,4
какой процесс обусловливает параметр т1,3
Свойства гибридных систем,1
Как ведут себя магнитные диполи в постоянном магнитном поле при ненулевой абсолютной температуре,4
Как на практике изменяют продольную намагниченность,2
Как называется частота резонансного поглощения энергии радиочастотной электромагнитной волныатомными ядрами помещенными в магнитное поле,4
Кто и когда открыл явление вращающегося магнитного поля,4
Какая связь между магнитным момент ядра т и ядерным спином ,4
Преимущества и недостатки низкопольных МРТ,3
Как классифицируются МРтомографы в зависимости от напряженности основного магнитного поля,1
Какое преобразование используется для преобразования РЧсигналов и построения МР изображений,4
Что называют клеткой Фарадея и для чего она используется,1
Как называется параметр Т2,1
Каково намагничивание ансамбля протонов в проекции на плоскость перпендикулярную оси прецессии впостоянном магнитном поле,2
Для чего предназначена шиммирующая катушка,1
Как определяется суммарный вектор намагниченности,3
Когда и где был установлен первый МРтомограф в СССР,2
На какой частоте ядро поглощает энергию в постоянном магнитном поле,1
Какой должна быть частота дополнительного РЧполя для получения сигнала от ядер находящихся впостоянном магнитном поле,2
Чему равно гиромагнитное отношение для протона,1
Объясните поведение ядер на рисунке из файла1е5 гИ191 Р,1
Какой процесс обусловливает параметр Т2,2
Какое явление называется квинчем в сверхпроводящем томографе,4
что происходит с суммарным вектором намагниченности м образованным магнитными моментами ядерпосле прекращения действия рчимпульса,1
определить резонансную частоту для водорода в магнитном поле с индукцией в01 тл элементарныйзаряд е16021019 кл масса протона п16731027 кг,1
Когда было получено первое изображение среза человеческого тела,3
Как ориентируется магнитный момент протона в магнитном поле,3
Как называется параметр Т1,4
откаких ядер происхолит регистрация сигнал,3
